UNITNAME,CanBuild,BuiltBy,UnitNumber,DefaultMissionType,wpri_badTargetCategory,ActivateWhenBuilt,Description,MaxDamage,SelfDestructAs,buildangle,FootprintZ,MetalStorage,Copyright,DamageModifier,Version,BMcode,SIDE,BadTargetCategory,StandingFireOrder,Designation,BuildCostEnergy,WorkerTime,Builder,YardMap,Name,firestandorders,ShootMe,FootprintX,EnergyStorage,FrenchName,NoChaseCategory,Category,canattack,Weapon1,NoShadow,EnergyUse,SightDistance,downloadable,ThreeD,ZBuffer,ExplodeAs,BuildCostMetal,NoAutoFire,TEDClass,Corpse,GermanDescription,BuildTime,RadarDistance,ItalianDescription,WaterLine,ItalianName,canguard,Objectname,SoundCategory,GermanName,Frenchdescription,SpanishDescription,canstop,SpanishName,MinWaterDepth,MaxVelocity,StandingMoveOrder,MaxSlope,canpatrol,canmove,Upright,TurnRate,MaxWaterDepth,Acceleration,maneuverleashlength,MovementClass,Weapon3,wspe_badTargetCategory,BrakeRate,EnergyMake,mobilestandorders,SteeringMode,Ovradjust,Digger,canhover,Builddistance,CanReclamate,MetalMake,ImmuneToParalyzer,CantBeTransported,Init_cloaked,Stealth,CloakCost,HideDamage,CanCapture,wsec_badTargetCategory,Weapon2,candgun,Scale,cruisealt,BankScale,amphibious,Canfly,sortbias,selfdestructcountdown,ExtractsMetal,onoffable,transportsize,canload,transportcapacity,transportmaxunits,Floater,Antiweapons,MakesMetal,SonarDistance,PitchScale,IsAirBase,ai_limit,ai_weight,HoverAttack,CloakCostMoving,HealTime,ShowPlayerName,norestrict,mincloakdistance,RadarDistanceJam,PigLatinName,PigLatinDescription,JapaneseName,canbuild,IsFeature,kamikazedistance,kamikaze,TidalGenerator,canland,canresurrect,canrepair,resurrect,istargetingupgrade,Commander,attackrunlength,altfromsealevel,MoveRate1,WindGenerator,
CORHFLAK,,CORAHP CORFAHP ,194,Standby,NLND,n/a,Flak Hovertank,1710,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,1,CORE,MOB,2,COR-FRJ,14604,0,0,n/a,Broadhead,1,1,3,0,n/a,MOB,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_H CTRL_W,1,NULL_WEAPON,n/a,2.1,288,1,1,1,BIG_UNITEX,735,0,TANK,corhflak_dead,n/a,18564,32,n/a,n/a,n/a,1,CORHFLAK,CORE_HOVER_MID,n/a,n/a,n/a,1,n/a,n/a,1.35,1,16,1,1,n/a,775,0,0.09,640,TANKHOVER3,FLAK_HALF,NLND,0.08,2.1,1,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORASP,CORASP_UPGRADE ,CORCA CORCK CORCV CORCH CORCOM_SUP ,155,n/a,n/a,1,Automatically repairs units (Upgradable),2070,BIG_UNIT,1024,4,50,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,CORE,n/a,n/a,ARM-SP1,4270,300,1,oooo oooo oooo oooo,Repair Pad,n/a,n/a,4,50,Piste de réparations,n/a,CORE BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1,n/a,n/a,n/a,0,384,n/a,1,1,BIG_UNITEX,216,0,SPECIAL,corasp_dead,Repariert Lufteinheiten automatisch,5396,0,Ripara automaticamente i velivoli,n/a,Piattaforma Aerei,n/a,CORASP,AIRPLANT,Luftfahrt-Reparaturset,Répare automatiquement les avions,Repara aeronaves automáticamente,n/a,Plat. Aérea Reparaciones,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,1,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORVRAD,,CORAVP ,151,Standby,MOB,1,Radar Vehicle,510,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,MOB,n/a,NOT-IN-OTA,1209,0,0,n/a,Informer,n/a,1,3,0,Scrutator,MOB,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_G CTRL_V CTRL_R,1,NULL_WEAPON,n/a,25,384,n/a,1,1,BIG_UNITEX,86,0,TANK,corvrad_dead,Mobiles Radar,4223,1792,Radar Mobile,n/a,Informer,1,CORVRAD,CORE_VRADAR,Informer,Radar Mobile,Radar móvil,1,Informer,n/a,1.05,1,16,1,1,n/a,210,0,0.03,640,TANKSH3,n/a,n/a,0.012,0,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMMINE5,,ARMMLV ARMSPY ,10215,Standby_Mine,n/a,1,Perimeter Beacon (Radar Jammed),80,n/a,n/a,1,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,0,ARM,n/a,n/a,GTK5,2048,0,0,o,Surveyor,n/a,n/a,1,0,n/a,n/a,ARM NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1 CTRL_R,n/a,n/a,n/a,5,512,1,1,1,n/a,128,0,FORT,n/a,n/a,1500,0,n/a,n/a,n/a,n/a,ARMMINE5,MINE5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,limit ARMMINE5 0,weight ARMMINE5 0,n/a,n/a,n/a,n/a,n/a,10,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORECK,CORALAB CORMAS CORSILO CORSFUS CORGATE CORNOVA CORSMB CORSHGEN COROMNI CORTECH CORVAULT CORBUZZ ,CORGANT ,232,Standby,n/a,n/a,Tech Level 3,1125,BIG_UNIT,n/a,2,n/a,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,1,CORE,n/a,2,COR-DWM,25768,540,1,n/a,Exp. Construction Kbot,1,1,2,n/a,n/a,n/a,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV3 CTRL_B,n/a,n/a,n/a,0,224,1,1,1,BIG_UNITEX,805,n/a,CNSTR,coreck_dead,n/a,25550,24,n/a,n/a,n/a,1,CORECK,COR_CKBOT,n/a,n/a,n/a,1,n/a,n/a,1.5,0,20,1,1,1,1030,35,0.16,640,KBOTSS2,n/a,n/a,0.32,20,1,2,n/a,n/a,n/a,180,1,0.8,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORSUMO,,CORALAB ,1269,Standby,AIR,1,Advanced Armored Assault Kbot (400 Energy/Shot),15120,BIG_UNIT,n/a,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.8,3.1,1,CORE,AIR,2,KG-EHL,35922,0,0,n/a,Sumo,1,1,4,0,Sumo,AIR,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_G CTRL_K CTRL_W,1,LASER_SUMO,n/a,2.8,512,1,1,1,UNIT_BLASTSML,2532,0,KBOT,corsumo_dead,Schwerer Kampf-Kbot,41155,40,Assalto pesante KBot,n/a,Sumo,1,CORSUMO,SUMO,Sumo,KBot d'assault lourd,Kbot de asalto pesado,1,Sumo,n/a,0.825,1,15,1,1,0,224,23,0.008,640,TANKSH4,n/a,n/a,0.1,2.8,1,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMWIN,,ARMDECOM ARMCOM_SUP ARMSPOT ARMCA ARMCK ARMCV ARMCH ARMCOM ,76,n/a,n/a,1,Produces Energy,196,SMALL_BUILDINGEX,8192,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,ARM,n/a,n/a,AE-WPG,509,0,0,oooo oooo oooo oooo,Wind Generator,n/a,n/a,4,0,Eolienne,n/a,ARM BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1,n/a,n/a,n/a,0,192,n/a,1,1,SMALL_UNITEX,60,0,ENERGY,armwin_dead,Gewinnt Energie,1693,0,Produce energia,n/a,Generatore a Vento,n/a,ARMWIN,ARM_WIND,Windgenerator,Produit de l'énergie,Produce energía,n/a,Generador Eólico,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,
ARMHCAR,,ARMAHP ARMFAHP ,174,Standby,AIR,1,Hover Carrier,3960,BIG_UNIT,n/a,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,1,ARM,NSUB,2,ARM-HG,16992,180,1,n/a,Angler,1,1,5,0,n/a,AIR,ARM MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_H CTRL_W,1,DEPTHCHARGE,n/a,20,672,1,1,1,BIG_UNITEX,735,0,TANK,armhcar_dead,n/a,18258,1792,n/a,n/a,n/a,1,ARMHCAR,ARM_HOVER_BIG,n/a,n/a,n/a,1,n/a,n/a,1.4,1,16,1,1,1,512,0,0.07,640,TANKHOVER5,n/a,n/a,0.09,20,1,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,448,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMTSHIP,,ARMSY ,73,Standby,n/a,1,Transport Ship,4500,BIG_UNIT,16384,6,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,ARM,n/a,2,ASD-ST,4639,0,0,n/a,Hulk,1,1,6,0,Mastodonte,n/a,ARM MOB NAIR NSUB NLND NEXP NNUK ALL LEV1 CTRL_T,n/a,n/a,n/a,0.3,512,n/a,1,1,BIG_UNITEX,670,0,SHIP,armtship_dead,Transportschiff,14538,56,Nave da trasporto,n/a,Hulk,1,ARMTSHIP,ARM_SHIP,Hulk,Cargo,Transporte anfibio,1,Hulk,12,1.7,n/a,n/a,1,1,n/a,256,n/a,0.02,640,BOATS6,n/a,n/a,0.036,0.3,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,6,1,255,255,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORGEO,CORGEO_UPGRADE ,CORCA CORCK CORCV CORCH CORCOM_SUP ,109,n/a,AIR,1,"Produces Energy (300, Upgradable)",1116,NUCLEAR_BLASTSML,4096,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.4,1,0,CORE,AIR,2,EG-9,9375,120,0,oooo oGGo oGGo oooo,Geothermal Powerplant,1,n/a,4,0,Centrale géothermique,MOB,CORE BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1,1,RIOT_GEO,n/a,-100,192,n/a,1,1,ATOMIC_BLAST,508,0,ENERGY,corgeo_dead,Liefert Energie,12875,0,Produce energia,n/a,Stabilimento Geotermico,1,CORGEO,CORE_GEO,Geotherm. Kraftwerk,Produit de l'énergie,Genera energía,1,Planta Geotérmica,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,300,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
